"ID" "sec" "frame" "pos_y" "pos_x" "y2" "x2" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond" "pck" "expe" "plong" "day"
"3731" 2 670 6700 221.822426910896 187.085083650826 223.878023007237 190.112367352356 -12.8785994490264 112.600218354376 -8.32460690624029 98.7575638166733 336.090909090909 3 "Sti" "CT" 1 4 33 NA
"3732" 2 671 6710 285.47172611904 208.903063075491 286.759866722736 208.207123811486 -3.79346165656979 33.1670079917738 -2.07634184126505 29.7400414855213 441.444444444444 3 "Sti" "CT" 1 4 33 NA
"3733" 2 672 6720.11111111111 325.487783842159 207.421587120403 330.80102083267 204.953287387409 -6.76312663435108 59.1313938134632 2.87500231334758 45.3343607125497 428.666666666667 3 "Sti" "CT" 1 4 33 NA
"3734" 2 673 6730 379.174168070747 194.84487261483 377.161580144032 197.685616757892 -2.77239827208456 24.2396428305422 -6.01114903335332 21.8710028574097 474.277777777778 3 "Sti" "CT" 1 4 33 NA
"3735" 2 674 6740 389.358242646919 206.81616254845 388.73261372112 205.545896995277 -0.697755783824521 7.00557790826304 -1.01399621546398 9.93080162486467 393.909090909091 3 "Sti" "CT" 1 4 33 NA
"4027" 2 967 9670 39.3770718999747 164.452211467244 38.7032706007705 164.760989418115 -0.947581434771025 8.28489750660246 -0.379104687814802 4.42225692174611 456 4 "Sti" "CT" 1 4 33 NA
"4028" 2 968 9680 41.4548789530317 162.700398954888 41.4193226379671 162.801580637045 0.0628174590591493 0.741218088174591 -0.388218987241423 0.854459868393008 467.863636363636 4 "Sti" "CT" 1 4 33 NA
"4029" 2 969 9690 40.9009692194823 163.879130894337 40.9377643616158 163.944739513394 0.0168605551943554 0.224830637501562 0.0487528590435602 1.06597728834427 466.555555555556 4 "Sti" "CT" 1 4 33 NA
"4030" 2 970 9700 40.7897105544648 164.894765579228 40.7472087100637 164.900782482757 0.0496164654430588 0.445120035827479 -0.0880204865394703 0.587601762802706 467.636363636364 4 "Sti" "CT" 1 4 33 NA
"4031" 2 971 9710 40.3706070959256 165.36442976788 41.3850385516958 163.966044333974 -0.464754915976087 4.46377104835862 1.61589177414077 3.5802672686296 463.666666666667 4 "Sti" "CT" 1 4 33 NA
"4032" 2 972 9720 58.4338357170509 163.165795527104 62.907670462243 163.525020074573 -4.75570441853717 41.5800924685673 4.20151639761924 16.4559320917999 335.863636363636 4 "Sti" "CT" 1 4 33 NA
"4033" 2 973 9730 116.162812039024 160.548015998806 117.159717298804 165.577147223786 -6.05506486999934 52.9406655755088 -1.31979543634628 41.9615978436054 366.277777777778 4 "Sti" "CT" 1 4 33 NA
"4034" 2 974 9740 157.49901220002 199.913596385771 158.417899552862 198.364482923642 -3.78667358107242 33.1076584649689 -1.4759469285689 42.0404144505045 377.090909090909 4 "Sti" "CT" 1 4 33 NA
"4326" 2 1267 12670 38.1357420713986 184.667323287614 38.2199878507357 184.686955072497 -0.0406415622493909 0.478815324649837 0.181723247996104 1.52071698988215 469.611111111111 5 "Sti" "CT" 1 4 33 NA
"4327" 2 1268 12679.5 50.9345717506594 192.804836280494 57.9336218607255 193.604310657354 -5.53418363284301 48.3864948155094 7.57119438628174 29.0363848399422 395.75 5 "Sti" "CT" 1 4 33 NA
"4328" 2 1269 12690 115.863544615222 203.294879662896 115.26978999625 201.223781131998 -5.02706462957687 43.9526500697799 -4.46253278372239 19.7125408733446 392 5 "Sti" "CT" 1 4 33 NA
"4329" 2 1270 12700 153.29542541364 175.054652975997 157.156629132137 175.358437515957 -6.05980013987512 52.9820670046076 2.72744682044485 20.2549021560899 391.227272727273 5 "Sti" "CT" 1 4 33 NA
"4330" 2 1271 12710 218.33855526714 171.520882377281 220.78416267542 173.521482909782 -7.51914988978751 65.7414591377298 0.533466978219508 64.0981702216499 440.555555555556 5 "Sti" "CT" 1 4 33 NA
"4331" 2 1272 12720 271.1150748218 194.872560960132 272.253656601896 193.688006476262 -4.23531136573432 37.0301900038136 -3.97781048617463 35.8512610871665 447.181818181818 5 "Sti" "CT" 1 4 33 NA
"4332" 2 1273 12730 297.374893043804 191.77466305752 298.432574530039 193.059882394006 -2.67976182307211 23.4297034867757 1.56810730025984 19.8493265981056 482.777777777778 5 "Sti" "CT" 1 4 33 NA
"4333" 2 1274 12740.3 342.323960168395 199.844884613973 346.216467930251 200.689734541873 -7.55889047861449 66.0889192010046 1.14477627876573 62.9516777207742 457.9 5 "Sti" "CT" 1 4 33 NA
"4626" 2 1567 15670 33.169130304625 207.91723861116 33.1480881207384 208.142386408292 -0.0482311556714816 0.426926050510573 0.138952866571927 2.57748810977864 412.944444444444 6 "Sti" "CT" 1 4 33 NA
"4627" 2 1568 15680 34.7847761653964 210.598724131675 39.1038900423249 209.210010149056 -2.80090022003785 24.4888411673464 7.65445657389012 4.63699205672839 440.818181818182 6 "Sti" "CT" 1 4 33 NA
