"ID" "sec" "frame" "pos_y" "pos_x" "y2" "x2" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "ret" "pck" "expe" "cond" "plong"
"2513" "1" 2518 25180 256.09645833992 90.8453030204558 257.718495761737 92.2348417746634 -8.92518880150757 80.205681778251 -3.72622255008801 77.6392312052595 238.818181818182 "9" "Sti" "4" "2" "9" "CT" 65
"2514" "1" 2519 25190 305.528078556811 100.209450059186 309.987361826521 98.6246078090603 -4.62909394159978 41.5990791745344 3.62984644260615 38.9313547114672 218.722222222222 "9" "Sti" "4" "2" "9" "CT" 65
"2515" "1" 2520 25200 376.452808468017 89.7350726285862 376.769050827619 90.2142971679039 -7.57993844079053 68.1166689020726 -6.49262277128628 64.3257570918759 211.181818181818 "9" "Sti" "4" "2" "9" "CT" 65
"2516" "1" 2521 25210 401.230745443139 81.0049228339954 401.029210284816 76.5660569230578 -0.152058431884767 2.22263487199251 -1.01181209730169 5.29078639170655 251.444444444444 "9" "Sti" "4" "2" "9" "CT" 65
"2517" "1" 2522 25220 401.421141343265 44.3545296169131 401.402715007498 46.4972582479318 0.0502406026482401 1.87954237177672 -0.77072942304909 3.17207569587583 215.090909090909 "9" "Sti" "4" "2" "9" "CT" 65
"2811...64" "1" 2816 28160 398.001799837599 66.1835515720864 397.290919907366 66.6616140883135 0.773367858084981 6.94982455862606 -0.217605055500655 3.84429912200642 273.090909090909 "10" "Sti" "4" "2" "9" "CT" 65
"2812" "1" 2817 28169 391.293780309028 79.4008934931528 391.379138599363 77.1570194554335 0.468882626972741 4.21358602116896 0.165078717514632 4.05726061545079 362.666666666667 "10" "Sti" "4" "2" "9" "CT" 65
"2813" "1" 2818 28180 388.378739830288 68.4975850317353 388.558578066279 67.9257296362569 0.12839780782661 1.53339452579741 0.591687851424751 3.6883758218757 353.772727272727 "10" "Sti" "4" "2" "9" "CT" 65
"2814" "1" 2819 28190 388.564168155684 55.1881736544757 388.253356954544 54.8698805096228 0.12293858375882 1.23360879413212 -0.500062018467077 2.59758848127126 345.055555555556 "10" "Sti" "4" "2" "9" "CT" 65
"2815" "1" 2820 28200 385.695674986036 47.2345005570771 385.657761244626 47.0105125617971 0.312768784144945 2.81067819731305 0.225260535918721 3.57606853080011 352.5 "10" "Sti" "4" "2" "9" "CT" 65
"2816" "1" 2821 28210 383.738052825882 42.2157751876533 383.591023726814 42.2973048217474 0.217815165098833 1.95738311053356 -0.0643281196100816 2.25449292940647 352.555555555556 "10" "Sti" "4" "2" "9" "CT" 65
