"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond"
"2717" 1 2717 27170 56.0112482421577 72.0652356018916 -29.7342495776117 29.7342495776117 5.72065936913268 6.50279500381525 459.611111111111 10 "Sti" "P2"
"2718" 1 2718 27180 107.985733289631 56.8062536704118 -70.3609638774418 70.3609638774418 0.957538707583112 62.6447838916235 494.55 10 "Sti" "P2"
"2719" 1 2719 27190 162.777501316597 63.6018367754681 -19.8063838125145 19.8063838125145 -6.09572821956257 17.121420102297 537.777777777778 10 "Sti" "P2"
"2720" 1 2720 27200 166.943211973348 44.6833705274464 -5.29336990715024 5.29336990715024 0.333845167976676 7.22401416790541 533.454545454545 10 "Sti" "P2"
"2721" 1 2721 27210 175.990006031111 56.7744240220937 -12.5353449444538 12.5353449444538 0.96206490386507 12.0916059654495 493.722222222222 10 "Sti" "P2"
"2722" 1 2722 27220 192.702012867069 42.0316503465447 -16.9642540165965 16.9642540165965 -0.518910296117411 12.9122072796659 523 10 "Sti" "P2"
"4629" 2 2716 27160 338.119100230418 169.441564519319 -11.4975158042796 13.567480201032 2.77515639195582 9.08545996663048 401.727272727273 10 "Sti" "P2"
"4630" 2 2717 27170 361.680184622894 157.625148677307 -13.5739433500145 13.5739433500145 -2.38516367606167 11.1915965183218 243.5 10 "Sti" "P2"
"4631" 2 2718 27180 365.333931849301 165.148526504042 -3.61178905657476 3.62867007472704 -0.232319045998167 5.7457782010901 321.954545454545 10 "Sti" "P2"
"4632" 2 2719 27190 366.290894398743 167.037719894147 -2.89166889558152 4.30114924180083 1.25062395077663 5.32203255074683 439.444444444444 10 "Sti" "P2"
"4633" 2 2720 27200 374.906735706895 181.653010233867 -4.71394384552258 8.83223675312382 -1.6800597509087 13.7291695786524 420.363636363636 10 "Sti" "P2"
"4634" 2 2721 27210 373.199896645298 195.833508959589 1.01408633556514 1.59000423655004 0.60715339761731 1.04434346400035 460.277777777778 10 "Sti" "P2"
"4635" 2 2722 27220 374.917826683631 192.746672276093 -2.3082733409517 2.3082733409517 -0.113973279700815 0.727487082485538 459.181818181818 10 "Sti" "P2"
"24" 1 23 230 296.463557626976 68.1101345530055 -15.0793084870175 15.0793084870175 -0.739885413029299 16.528700249528 418.333333333333 1 "ITI" "P2"
"25" 1 24 240 309.185096697226 81.8588359304827 -10.2490451558297 10.2490451558297 -0.577581767615072 12.4266579952327 502.272727272727 1 "ITI" "P2"
"26" 1 25 250 316.484198137129 86.6857732338362 -5.49572603111204 5.49572603111204 -0.250754117495717 5.96648557092982 544.722222222222 1 "ITI" "P2"
"27" 1 26 260 321.028452957527 88.1981341749404 -3.07714201066841 3.07714201066841 -0.315691839620399 3.16695980003391 550.681818181818 1 "ITI" "P2"
"28" 1 27 270 325.141269082441 87.7406732493443 -3.9449674805341 3.9449674805341 -0.112330890098463 3.56669173261804 516.277777777778 1 "ITI" "P2"
"29" 1 28 279.6 325.717038631004 72.6841025065079 -12.7766347159026 15.7353049640736 3.15749337598339 14.4213201276465 396.4 1 "ITI" "P2"
"30" 1 29 290 354.395573625974 57.363742668076 -22.4056530256567 22.4056530256567 -1.84828674651715 21.6123364486294 531.277777777778 1 "ITI" "P2"
"31" 1 30 300 366.179713592708 62.4356255637565 -6.14310646327061 6.45031880337143 -1.46940784043016 7.14689405502361 543.818181818182 1 "ITI" "P2"
"32" 1 31 310 366.123295761759 66.6272668552527 2.84696739360533 2.84696739360533 -0.220780536908592 2.24114506688329 542.111111111111 1 "ITI" "P2"
"33" 1 32 320 363.118156624627 70.5977433930668 2.33766113166047 2.33766113166047 0.212874531408943 1.31847594601345 542.454545454545 1 "ITI" "P2"
"34" 1 33 330 361.244650072138 75.1939654743003 1.56936480696857 1.56936480696857 -0.00246647277583634 0.773153568385965 547.111111111111 1 "ITI" "P2"
"35" 1 34 340 359.949503970601 78.999703138875 1.22939640812757 1.22939640812757 0.00521704207352514 0.437453816209427 546.863636363636 1 "ITI" "P2"
"36" 1 35 350 359.019969842333 81.7080447352715 0.484303691644413 0.551392297841517 0.134264475090617 0.350379748910484 548.777777777778 1 "ITI" "P2"
"37" 1 36 360 358.906350931009 83.5254730944778 0.374492117649311 0.680698447176951 -0.0671556711212133 0.654898680098313 553.045454545455 1 "ITI" "P2"
"38" 1 37 370 358.137079738319 84.5528656358942 0.336102146695168 0.577664954476575 0.125918262253833 0.543630259875442 547.388888888889 1 "ITI" "P2"
"39" 1 38 380 358.078436859032 85.1897000621145 -0.139871128250263 0.413255687495791 0.0189459522151196 0.425852600622306 537.863636363636 1 "ITI" "P2"
"40" 1 39 390 358.507822674113 85.640089457159 -0.226071132348068 0.320962289463921 -0.0590963778403193 0.358898188669798 544.888888888889 1 "ITI" "P2"
"41" 1 40 400 358.528337511604 85.8354471115111 -0.0454260345862849 0.102731576605606 -0.00385044604712448 0.10711974824693 537.863636363636 1 "ITI" "P2"
"42" 1 41 410 358.611524447733 85.9175070848112 0.0278227496693262 0.120173410614257 -0.0354537889650146 0.124649297909059 538.888888888889 1 "ITI" "P2"
"43" 1 42 420 358.495394561878 85.8766724509572 0.0492594593379181 0.1037455073714 0.0374067780643941 0.113962774972549 544.272727272727 1 "ITI" "P2"
"44" 1 43 430 358.469065272019 85.7750370464419 0.0616037748866347 0.13970665032366 0.0183840263527486 0.150564276003479 547.277777777778 1 "ITI" "P2"
"45" 1 44 440 358.461989065321 85.6898260324268 0.0122007648973863 0.188710480015345 -0.041771967564614 0.191208584600645 541 1 "ITI" "P2"
"46" 1 45 450 358.426611924565 85.596189814939 0.00889791774369542 0.167129311737824 -0.00752831576079416 0.174138929886055 545.277777777778 1 "ITI" "P2"
"47" 1 46 460 358.301274212937 85.4025585419893 -0.0527104889985708 0.337541591652041 0.0924813459656093 0.347925414283623 550.454545454545 1 "ITI" "P2"
"48" 1 47 470 358.72905815757 85.292449929255 -0.389413402667856 0.4008482181315 -0.0681831800364989 0.37682341862569 546.555555555556 1 "ITI" "P2"
"49" 1 48 480 358.791090384747 85.1663285134397 -0.038546036738353 0.168666301024928 0.0372672511056749 0.15615822926793 546.272727272727 1 "ITI" "P2"
"50" 1 49 490 359.124137371389 84.8859255605181 -0.424316909954257 0.424316909954257 -0.0123842045229594 0.350158598744713 546.722222222222 1 "ITI" "P2"
"51" 1 50 500 359.460507280898 84.6018866431964 -0.344379257556909 0.346443288297507 0.0414594006082893 0.290068013828659 546.5 1 "ITI" "P2"
"52" 1 51 510 359.962304743438 84.4423728258716 -0.486863067500224 0.486863067500224 -0.014955020091918 0.444312051161035 544.055555555556 1 "ITI" "P2"
"53" 1 52 520 360.119063751202 84.2614959971281 0.0461220232261894 0.154630777637863 -0.0674283474044159 0.164539237778513 545.590909090909 1 "ITI" "P2"
"54" 1 53 530 359.964557712141 84.1123921553717 0.258306628791161 0.258306628791161 0.0023966217345901 0.27156578462376 548.277777777778 1 "ITI" "P2"
"55" 1 54 540 359.946191577655 84.0435744419311 -0.211361925396602 0.223046206449851 0.0387904194108728 0.21543490996828 541.727272727273 1 "ITI" "P2"
"56" 1 55 550 360.012174012305 83.9802249556838 0.108526752282046 0.130913036767652 -0.0323464310079089 0.15404697238904 542.833333333333 1 "ITI" "P2"
"57" 1 56 560 359.907399714886 83.8773095170532 -0.0457394331408523 0.13536737964057 0.0293506754729833 0.147511634806506 550.681818181818 1 "ITI" "P2"
"58" 1 57 570 360.041619170356 83.9346685213897 -0.0435736657372559 0.104447225361639 0.00164194697526909 0.109157201864605 546.722222222222 1 "ITI" "P2"
"59" 1 58 580 360.089767906398 83.9377762228789 -0.121185018220217 0.13956676479927 -0.0101377388780293 0.142479194117868 553.727272727273 1 "ITI" "P2"
"60" 1 59 590 360.10933315144 83.9586708601153 0.0713798204000113 0.0804825430993787 -0.017779227690994 0.0788903497382307 547.611111111111 1 "ITI" "P2"
"61" 1 60 600 359.966794102051 83.9388669897803 0.261829523998983 0.261829523998983 -0.00718531876896122 0.252794204991005 548.045454545455 1 "ITI" "P2"
"62" 1 61 610 359.938050134946 83.9691044621528 -0.285541748066919 0.285541748066919 0.0556683592529339 0.280671046290081 545.944444444444 1 "ITI" "P2"
"63" 1 62 620 360.175721641137 83.9752564136944 0.0421257767508223 0.249226323578 -0.0610702230193851 0.246256156255299 542.5 1 "ITI" "P2"
