"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond" "pck" "day" "expe" "plong" "y2" "x2"
"4063" 2 427 4270 122.925532374867 161.415918924417 -5.97168742846391 52.7364689741445 2.36191130770642 27.7007013631976 201.722222222222 2 "Sti" "G2C" 4 7 25 45 NA NA
"4064" 2 428 4280 186.628054187392 166.59999635458 -5.39485732821765 47.6424343232361 -6.78099250445374 48.880581104007 261.409090909091 2 "Sti" "G2C" 4 7 25 45 NA NA
"4065" 2 429 4290 202.145036814784 185.430401880099 -1.2623426441433 11.1814180850421 2.05077809884662 8.02337985757617 277.444444444444 2 "Sti" "G2C" 4 7 25 45 NA NA
"4066" 2 430 4300 226.280294526201 166.058104179604 -2.60604696940391 23.0142178058513 -1.42727693732903 9.50541250449317 272.954545454545 2 "Sti" "G2C" 4 7 25 45 NA NA
"4067" 2 431 4310 239.316390729025 169.956455053921 -0.675079587262957 5.96168405249719 -0.691476914252746 9.216613032255 316.111111111111 2 "Sti" "G2C" 4 7 25 45 NA NA
"4068" 2 432 4320 248.843471078472 165.827062838949 -3.4367005291107 30.3497885644515 4.7685741186493 21.3678261126059 244.727272727273 2 "Sti" "G2C" 4 7 25 45 NA NA
"4362" 2 726 7260 389.161742355286 185.690446933704 -1.91736054394837 20.2251901791826 -5.12632774137251 20.0480705337313 213.227272727273 3 "Sti" "G2C" 4 7 25 45 NA NA
"4363" 2 727 7270 391.032754385913 209.903153065044 -0.195818604356702 1.83051058037859 0.522134783923548 11.9453288507583 245.833333333333 3 "Sti" "G2C" 4 7 25 45 NA NA
"4364" 2 728 7280 389.947661220832 218.717281879784 0.12776728314499 2.77544499683552 0.0791925096940531 13.4090913945326 181.409090909091 3 "Sti" "G2C" 4 7 25 45 NA NA
"4365" 2 729 7290.5 392.030511081245 175.916493342314 -0.415057531752821 3.66540762690221 0.032048593446973 9.60326439759314 192.6875 3 "Sti" "G2C" 4 7 25 45 NA NA
"4366" 2 730 7300 393.256239275254 168.259762712621 0.496709157892561 4.89900554243326 -0.629564466552097 2.01348780405368 269.909090909091 3 "Sti" "G2C" 4 7 25 45 NA NA
"4367" 2 731 7310 388.194556544778 180.539048500914 0.349526861531095 3.08670082109541 -0.0434212874855007 3.0350523848806 318.055555555556 3 "Sti" "G2C" 4 7 25 45 NA NA
"4368" 2 732 7320 385.046333546514 194.637681453433 0.0775031112864778 3.26418468638747 1.24882653341439 14.7022271667493 228.409090909091 3 "Sti" "G2C" 4 7 25 45 NA NA
"4662" 2 1026 10260 77.7748337524822 166.865492599517 1.89899031901032 16.7701416459517 2.66545867407486 8.4133328428766 310.090909090909 4 "Sti" "G2C" 4 7 25 45 NA NA
"4663" 2 1027 10270 76.3272082432078 167.868734063288 -0.534145195915851 4.71708070617328 1.18081851040026 2.45301113410406 320.388888888889 4 "Sti" "G2C" 4 7 25 45 NA NA
"4664" 2 1028 10280 86.2634455959539 172.016050038217 -3.09337784656715 27.3178773646492 2.81934143468891 31.9380591749304 326.727272727273 4 "Sti" "G2C" 4 7 25 45 NA NA
"4665" 2 1029 10290 121.812845558977 202.471348043634 -3.33335301022683 29.4371180189042 -1.31751052339612 32.6049181252448 285.388888888889 4 "Sti" "G2C" 4 7 25 45 NA NA
"4666" 2 1030 10300 142.870323583616 205.341863065335 -1.74094884238579 15.3744642049471 -0.674747005092968 8.42551443111847 293.136363636364 4 "Sti" "G2C" 4 7 25 45 NA NA
"4667" 2 1031 10310 160.810817699389 207.645740615274 -1.8252821701713 16.1192188454945 -1.21834607743662 21.5477973337233 264.888888888889 4 "Sti" "G2C" 4 7 25 45 NA NA
"4668" 2 1032 10320 162.131010023456 203.874448582265 1.11330307261261 10.2604118126479 -0.971597094059433 34.0383969265885 314.409090909091 4 "Sti" "G2C" 4 7 25 45 NA NA
"4962" 2 1326 13260 355.616134833377 170.088275141988 -1.91486839903193 17.2909150655398 -3.55626490438328 3.24680408528803 323.454545454545 5 "Sti" "G2C" 4 7 25 45 NA NA
"4963" 2 1327 13270 354.857280155739 165.047676287756 1.12338053539769 9.92066705781974 -0.53743921721707 6.84451208112233 295.611111111111 5 "Sti" "G2C" 4 7 25 45 NA NA
"4964" 2 1328 13280 360.392256965789 160.030885627847 -3.45919106179133 30.5484043314574 3.77549336987511 25.7087138053224 299.909090909091 5 "Sti" "G2C" 4 7 25 45 NA NA
"4965" 2 1329 13290 385.180323632731 159.004148095475 0.0401720423054559 9.57802891638613 -4.8022219804331 8.76605969155111 315.777777777778 5 "Sti" "G2C" 4 7 25 45 NA NA
"4966" 2 1330 13300 370.822713719942 160.779125533439 1.80272395124737 15.9200053356374 1.32503369246871 14.446843497848 250.909090909091 5 "Sti" "G2C" 4 7 25 45 NA NA
"4967" 2 1331 13310 365.701278601296 156.614009780949 -1.10055696240746 9.71911018410572 1.45224073842428 7.51553257559254 273.833333333333 5 "Sti" "G2C" 4 7 25 45 NA NA
"4968" 2 1332 13320 375.288730325178 151.60878329679 -0.316647505202412 4.11407162414781 -0.876875620728299 2.82957311786549 266.409090909091 5 "Sti" "G2C" 4 7 25 45 NA NA
